PersonID,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR,VEHWRK,POPDENS,MALE,AGE,HIGHINC
801,1,0,1,1,0,0,1.8362,14.7,26,3,0.2041,1.44,29.3,5.2,0.3537,0.72,83,55.8,3.7959,5.25,1,6.37,1,43,0
802,1,0,1,1,0,0,1.8362,20.6,50,5,0.2427,2.02,54.5,7.3,0.3544,1.01,32.1,43.6,2.1165,3.25,1,3.91,1,29,1
803,1,0,1,1,0,0,1.8362,8.3,18,4,0.4819,0.81,20.9,6.3,0.759,0.41,24.1,33.6,4.0482,1,2,2.33,0,40,0
804,1,0,1,1,0,0,1.8362,7.4,15,4,0.5405,0.73,18.9,5.6,0.7568,0.36,22,34.3,4.6351,1.25,2,2.33,0,40,0
805,1,0,3,0,0,1,0.2982,27,44,4,0.1481,2.98,49.3,5.9,0.2185,1.49,65.8,41.1,1.5222,4.55,0.7,1.93,1,23,0
806,1,0,3,0,0,1,0.2982,27.4,41,4,0.146,3.02,50.5,5.6,0.2044,1.51,78.7,44.2,1.6131,4.75,0.7,1.93,1,23,0
807,1,0,2,0,1,0,0.6426,54.7,85,5,0.0914,5.36,93.7,7,0.128,2.68,30,43.3,0.7916,4.45,0.5,6.73,0,25,0
808,1,0,2,0,1,0,0.6426,64.3,95,5,0.0778,6.3,101.8,7.3,0.1135,3.15,56,46.3,0.7201,4.45,0.5,6.73,0,25,0
809,1,0,1,1,0,0,1.8362,11.5,26,6,0.5217,1.2,29.8,8.1,0.7043,0.6,41.3,30.4,2.6435,1.25,0.5,6.73,1,28,0
810,1,0,1,1,0,0,1.8362,11.8,22,6,0.5085,1.23,27.4,8,0.678,0.6,37.4,34.9,2.9576,1.25,0.5,6.73,1,28,0
